"Country","Year","Population.x","Population.y","Continent","Hemisphere","Human.Development.Groups","UNDP.Developing.Regions","HDI.Rank..2021.","Gross_National_Income_per_capita","COU","POL","Pollutant","VAR","Variable","YEA","Unit.Code","Unit","PowerCode.Code","PowerCode","Value"
"Australia",2000,19028802,19028802,"Oceania","Southern Hemisphere","Very High","",5,37296.64145,"AUS","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2000,"TONNE","Tonnes",3,"Thousands",1881.237
"Australia",2005,20176844,20176844,"Oceania","Southern Hemisphere","Very High","",5,41039.08996,"AUS","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2005,"TONNE","Tonnes",3,"Thousands",2194.272
"Australia",2010,22031750,22031750,"Oceania","Southern Hemisphere","Very High","",5,42840.45928,"AUS","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2010,"TONNE","Tonnes",3,"Thousands",2341.224
"Australia",2011,22340024,22340024,"Oceania","Southern Hemisphere","Very High","",5,44205.31566,"AUS","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2011,"TONNE","Tonnes",3,"Thousands",2292.039
"Australia",2012,22733465,22733465,"Oceania","Southern Hemisphere","Very High","",5,44878.41764,"AUS","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2012,"TONNE","Tonnes",3,"Thousands",2439.386
"Australia",2013,23128129,23128129,"Oceania","Southern Hemisphere","Very High","",5,45260.60917,"AUS","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2013,"TONNE","Tonnes",3,"Thousands",2511.495
"Australia",2014,23475686,23475686,"Oceania","Southern Hemisphere","Very High","",5,45851.64201,"AUS","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2014,"TONNE","Tonnes",3,"Thousands",2527.429
"Australia",2015,23815995,23815995,"Oceania","Southern Hemisphere","Very High","",5,46307.57617,"AUS","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2015,"TONNE","Tonnes",3,"Thousands",2545.259
"Australia",2016,24190907,24190907,"Oceania","Southern Hemisphere","Very High","",5,46558.17827,"AUS","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2016,"TONNE","Tonnes",3,"Thousands",2612.503
"Australia",2017,24594202,24594202,"Oceania","Southern Hemisphere","Very High","",5,47085.22714,"AUS","NOX","Nitrogen Oxides","TOT","Total man-made emissions",2017,"TONNE","Tonnes",3,"Thousands",2687.782
